Année;Production totale (TWh);Production thermique (TWh);Production thermique fioul (TWh);Production thermique charbon (TWh);Production thermique gaz (TWh);Production hydraulique (TWh);Production nucléaire (TWh);Production éolienne (TWh);Production solaire (TWh);Production bioénergies (TWh);Consommation totale (TWh)
2012;542;48.1;6.7;17.4;24;63.8;405;14.9;4.1;5.8;490
2013;550;43.6;3.8;19.9;19.9;75.5;404;15.9;4.7;7.1;495
2014;537.9;24.6;2.1;8.4;14.1;67.4;415.8;17;5.9;7.1;462.7500858
2016;530.8;45.2;2.6;7.2;35.3;63.6;384;20.9;8.4;8.6;482.5596644
2018;547.5;38.4;1.8;5.7;31;67.8;393.2;28.1;10.4;9.5;477.1788263
2020;499.7;37.4;1.6;1.3;34.4;64.9;335.4;39.6;12.7;9.6;448.4568692
2021;522.4;38.6;1.9;3.8;32.9;62;360.7;36.9;14.2;10;471.5455527
2015;544.9;33.1;2.5;8.6;22;58.7;416.8;21.1;7.4;7.8;474.1702382
2017;528.3;53.5;2.9;9.7;40.9;53.1;379.1;24;9.1;9.3;481.022714
2019;536;41.7;1.9;1.5;38.3;59.6;379.5;33.8;12;9.5;471.974818
2022;445.7;49.3;2.2;2.9;44.1;49.6;279;38.7;18.5;10.6;453.3035487
